日期： ,區域： ,AQI： 
2025-04-11,中壢,103
2025-04-11,中山,84
2025-04-11,林口,132
2025-04-10,中壢,80
2025-04-10,中山,65
2025-04-10,林口,77
2025-04-09,中壢,106
2025-04-09,中山,97
2025-04-09,林口,108
2025-04-08,中壢,107
2025-04-08,中山,82
2025-04-08,林口,78
2025-04-07,中壢,80
2025-04-07,中山,76
2025-04-07,林口,90
2025-04-06,中壢,73
2025-04-06,中山,72
2025-04-06,林口,64
2025-04-05,中壢,84
2025-04-05,中山,78
2025-04-05,林口,76
2025-04-04,中壢,74
2025-04-04,中山,93
2025-04-04,林口,112
2025-04-03,中壢,54
2025-04-03,中山,55
2025-04-03,林口,77
2025-04-02,中壢,60
2025-04-02,中山,60
2025-04-02,林口,50
2025-04-01,中壢,62
2025-04-01,中山,60
2025-04-01,林口,55
2025-03-31,中壢,61
2025-03-31,中山,63
2025-03-31,林口,53
2025-03-30,中壢,51
